der Kinderwunsch, "-e	želja za decom
das Familienleben, -	porodični život
die Schwangerschaft, -en	trudnoća
die Partnerschaft, -en	partnerstvo
die Verwandten (Pl.)	rodbina
der Familienbesuch, -e	porodična poseta
die Schwiegermutter, "-	svekrva / tašta
die Geschwister (Pl.)	braća i sestre
die Patchwork-Familie, -n	rekonstruisana porodica
die Großfamilie, -n	brojna porodica
das Einzelkind, -er	jedino dete
das Kindergeld (nur Sg.)	dečiji dodatak
der Mutterschaftsurlaub, -e	porodiljsko odsustvo
der Vaterschaftsurlaub, -e	očinsko odsustvo
die Verhütung, -en	kontracepcija
die Verpflichtung, -en	obaveza
der Geburtstag, -e	rođendan
der Namenstag, -e	imendan
die Weihnachten (Pl.)	Božić
das Ostern (nur Sg.)	Uskrs
der Nikolaustag, -e	Nikolindan
die Hochzeit, -en	venčanje
der Babysitter, -	babysitter, čuvar dece
das Straßenfest, -e	ulična proslava
das Festival, -s	festival
das Schulfest, -e	školska proslava
das Nachbarschaftsfest, -e	proslava komšiluka
das Grillen (nur Sg.)	roštilj
das Picknick, -s	piknik
der Karneval, -e/-s	karneval
die Abschlussfeier, -n	proslava završetka
die Festkleidung, -en	svečana odela
die Rollenverteilung, -en	podela uloga
die Erziehung, -en	vaspitanje, odgoj
das Patenkind, -er	kum/kumče
der Kindergarten, "-	vrtić
das Taschengeld, -er	džeparac
die Hausaufgaben (Pl.)	domaći zadaci
der Gruppendruck, "-e	pritisak grupe, konformizam
das Rauchen (nur Sg.)	pušenje
die Nanny, -s	dadilja
das Kindermädchen, -	dadilja, guvernanta
der Charakter, -e	karakter, ličnost
