die Teilzeit, -en	delimično radno vreme
die Erfüllung, -en	ispunjenje, zadovoljstvo
die Karriere, -n	karijera
der Manager, -	menadžer
der Arbeitsplatz, "-e	radno mesto
die Mittagspause, -n	pauza za ručak
die Gehaltserhöhung, -en	povišica
die Beförderung, -en	unapređenje
die Geschäftsreise, -n	poslovno putovanje
das Geschäftsessen, -	poslovni ručak/večera
der Aktenkoffer, -	aktovka
die Verwaltung, -en	administracija, uprava
die Heimarbeit, -en	rad od kuće
die Arbeitsbedingungen (Pl.)	uslovi rada
die Sicherheit, -en	sigurnost, bezbednost
die Kollegen (Pl.)	kolege
die Sportart, -en	vrsta sporta
die Motivation, -en	motivacija
die Freizeit, -en	slobodno vreme
der Leistungssport, -e	takmičarski sport
der Extremsport, -e	ekstremni sport
die Meditation, -en	meditacija
der Wassersport, -e	vodeni sport
das Bowling (nur Sg.)	kuglanje
das Billard (nur Sg.)	bilijar
das Golf (nur Sg.)	golf
das Gaming (nur Sg.)	igranje video-igara
das Töpfern (nur Sg.)	lončarstvo
die Radtour, -en	biciklistička tura
das Museum, Museen	muzej
das Theater, -	pozorište
das Konzert, -e	koncert
die Routine, -n	rutina
die Morgenroutine, -n	jutarnja rutina
das Kochen (nur Sg.)	kuvanje
das Backen (nur Sg.)	pečenje, pekarstvo
das Putzen (nur Sg.)	čišćenje
der Haushalt, -e	domaćinstvo
der Umzug, "-e	selidba
der Arztbesuch, -e	poseta lekaru
der Behördengang, "-e	odlazak u instituciju/upravu
das Konto, Konten	račun (bankovni)
die Verabredung, -en	dogovor, sastanak
die Körperpflege, -n	nega tela
die Großeltern (Pl.)	bake i deke
die Schwiegereltern (Pl.)	svekar i svekrva / tast i tašta
