das Reiseziel, -e	putno odredište
die Pauschalreise, -n	aranžman, paket-putovanje, all-inclusive
die Fotoreise, -n	foto-putovanje
die Sprachreise, -n	jezičko putovanje
das Auswandern (nur Sg.)	iseljavanje, emigracija
die Schifffahrt, -en	plovidba, brodski prevoz
das Zelten (nur Sg.)	kampovanje u šatoru
das Skifahren (nur Sg.)	skijanje
das Skateboarden (nur Sg.)	skejtbording
das Coworking (nur Sg.)	zajednički rad u coworking prostoru
die Workation, -s	rad na odmoru
der Städtetrip, -s	putovanje u grad
die Reiseabsicht, -en	namera putovanja
die Selbstfindungsreise, -n	putovanje samootkrivanja
der Urlaubstag, -e	dan godišnjeg odmora
die Urlaubsplanung, -en	planiranje odmora
der Flug, "-e	let
die Flugangst (nur Sg.)	strah od letenja
das Reisebüro, -s	turistička agencija
die Halbpension (nur Sg.)	polupansion
die Vollpension (nur Sg.)	pun pansion
der Meeresblick, -e	pogled na more
die Landschaft, -en	pejzaž, krajolik
die Entspannung, -en	opuštanje, relaksacija
der Bildungsurlaub, "-e	obrazovni odmor
der Urlaubsantrag, "-e	zahtev za godišnji odmor
die Erreichbarkeit (nur Sg.)	dostupnost, dosegnutost
das Mitbringsel, -	poklon sa puta, suvenir
die Erinnerung, -en	uspomena, sećanje
das Fotoalbum, -alben	fotoalbum
das Social Media (nur Sg.)	društvene mreže
das Teilen (nur Sg.)	deljenje (sadržaja)
die Bekanntschaft, -en	poznanstvo
